rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Studio with Balcony and Sea View (3 Adults),studio,undefined,private bathroom,undefined,undefined,not club,undefined,balcony,sea view,undefined
2-room studio room double ,studio,undefined,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,undefined,undefined
Four bed Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Premium Single Room, 1 Queen Bed",room,premium,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
Deluxe King Room Deluxe King Room Non-Refundable (1 King),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe with View (1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,with view,undefined
Single Room with Lake View - Non-refundable,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,lake view,undefined
Double Deluxe Sea View Balcony DBL/Twin Deluxe Sea View Balcony,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,sea view,undefined
GRAND JACUZZI DELUXE,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Suite (2 Twin Beds and 2 Twin Sofa Beds),suite,undefined,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Room, Valley View",room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,with view,undefined
1 Person in 4-Bed Dormitory - Male Only non-smoking,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Superior room with double bed Double room,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
one-bedroom apartment,apartment,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
Superior Double room with view (full double bed) (queen size bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,with view,undefined
Single Room (Melia Guest) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
Rooftop Suite,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Suite with Pool Access,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Double DELUXE GARDEN,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,garden view,undefined
"Premium Room, 1 Double Bed, View (Canal view) (1 Double Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,canal view,undefined
"Deluxe Double Room, Sea View",room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
DOUBLE - room with one double bed for up to 2 people,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Comfort standard room with 2 twin beds (breakfast included) twin ,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
PREMIER POOL VIEW ROOM,room,premier,private bathroom,undefined,undefined,not club,undefined,no balcony,pool view,undefined
KING ROOM - FREE WI-FI/HOT BREAKFAST INCLUDED/HDTV/SAFE - WORK AREA/COFFEE-TEA FACILITIES/WALKIN SHOWER -,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
DOUBLE CITY VIEW,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Shared Room 1 Person in 12-Bed Dormitory - Mixed,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Twin Room,1 Twin Bed and 1 Large Twin Bed,NonSmoking",room,standard,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
"1 Queen Bed, Non-Smoking, Classic Room, Internal View, Convertible Into Two Twin Beds",room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Standard Double or Twin Room, 2 Large Twin Beds",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Premium Room with land view (full double bed),junior suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,land view,undefined
single - non-smoking (1 Single),room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Privilege Double Room with Patio,room,privilege,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Apartment (main building),apartment,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Room Single Occupancy,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Twin Room with View,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,with view,undefined
"Room, 2 Queen Beds, Ground Floor (Susceptible to noise) (2 Queen Beds)",room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,basement floor
Double Room (with extra bed) (2 Adults + 1 Child) (2 Twin Beds and 1 Twin Sofa Bed),room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Suite - King - Vibrant Suite - King - Vibrant,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Standard Double room (full double bed) (queen size bed, + sofa, handicap accessible)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
DOUBLE WITH DOUBLE BED,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard room + by city park double ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Standard Single Room, 1 King Bed, City View",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Superior Corner Queen Room with Partial Sea View and Balcony,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,balcony,partial-sea view,undefined
"Double Accessible room (full double bed) (queen size bed, handicap accessible)",studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Double Room Non Refundable (Stay Green 10% For 2-4 Nights),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Sfera with 1 double bed  ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Suite, City View (1 Double Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"Standard Double room (twin beds) (bed type is subject to availability, terrace)",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard room with 1 double bed queen-size double ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, Guest Room, 2 Double(Room Only)",room,deluxe,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
"GUEST ROOM, 2 TWIN GUEST ROOM, 2 TWIN. BED & BREAKFAST. Opaque Rate",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Family Room, Connecting Rooms, Sea View",room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
Bedroom with shower,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Superior KING, Double or Twin",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Small room with 1 double bed  ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Voltaire Double Suite (full double bed) (king size bed, terrace)",suite,undefined,private bathroom,double/double-or-twin,double,club,undefined,no balcony,undefined,undefined
Comfort Double Non refundable without breakfast (Only for RF citizens),room,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"CLASSIC EXECUTIVE SUITE, 1 King Size Bed, 2 Single Size Beds, Haram View",suite,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Twin/Double room - Superior - Balcony - Park View Half Board,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,balcony,park view,undefined
Superior Room (nhow Room Atelier)(2 Twin Beds),room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Triple Standard â3 One single bed,room,standard,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
"Comfort Double or Twin Room, 2 Twin Beds",room,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Twin Room with SPA access (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Single Economy,room,economy,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Classic Suite Basic rate without breakfast,suite,classic,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
FAMILY SUITE Full Board,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
JACUZZI DELUXE-HILLSIDE Breakfast,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
doble economy,room,economy,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Club room,room,standard,private bathroom,undefined,undefined,club,undefined,no balcony,undefined,undefined
"Suite, 1 Queen Bed with Sofa bed",suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
dormBed in a 6-bed dormitory room (shared facilities)  (Main Building),dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Superior twin Room,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"""Single Bed in Female Dormitory Room, Shared Hallway Bathroom (1 Twin Bed)",dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Privilege Room DOUBLE PRIVILEGE ROOM,room,privilege,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Quadruple Room (2 Double Beds),room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 King Bed(Room Only)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Split Level Apartment (2 Double Beds and 1 Twin Bed),apartment,undefined,private bathroom,single bed,quadruple,not club,undefined,no balcony,undefined,duplex floor
Family Suite 2 Bedrooms Sea View,suite,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,sea view,undefined
single Classic Balcony,room,classic,private bathroom,undefined,single,not club,undefined,balcony,undefined,undefined
"Studio, Kitchenette (budynek Fabryka) (1 Queen Bed)",studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Premium Room, 1 King Bed, Ocean View, Oceanfront (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,ocean view,undefined
Triple Room NON-REFUNDABLE,room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
TWIN Deluxe Twin Room,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Annex FamilyRoom (Balcony),room,standard,private bathroom,undefined,undefined,not club,undefined,balcony,undefined,undefined
Deluxe Queen Room Deluxe Queen (1 Double),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Economy Single Room - Non-refundable,room,economy,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 King Bed (Deposit required) (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Double Room(1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Sea View Room superior sea view (1 Double or 1 Twin),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
Twin Superior Garden View Twin,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,garden view,undefined
Standard Transformer (modular beds) Basic rate with breakfast,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Superior Twin Twin room,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Room (MeliÃ¡ Guest) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Economy (No window) Double room (twin beds) (no window),room,economy,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Skyline Room Twin Half Board,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Superior Room (Superior Veranda)(1 Queen Bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
City View Room Double,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
1 X nhow premium room [BedType: 1 Double or 1 Twin],room,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double Room  BE ,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Classic Double or Twin Room with Extra Bed (2 Twin Beds),room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Twin/Double room - Superior (1 Double or 1 Twin),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Apartment - single occupancy ,apartment,undefined,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"DOUBLE ROOM (Exclusive discount,Special discount)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Suite with Terrace and Sea Wellness SPA Access,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Economy Double Room, 1 Double Bed(Room Only)",room,economy,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Economy Double Room, 1 Bedroom, City View (1 Double Bed)",room,economy,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,city view,undefined
Double Deluxe Garden View Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,garden view,undefined
Piazza (2 Twin Beds and 1 Double Sofa Bed),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
CITY DESIGN TRIPLE TRIPLE STANDARD ROOM,room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Studio apartment Sky  ,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Suite, 1 Bedroom, Terrace, Sea View (1 King Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,sea view,undefined
Deluxe Ocean Deluxe Twin Bed,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,ocean view,undefined
Standard  Superior Twin,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Double room (kitchen),room,deluxe,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Appartamento con 1 Camera da Letto (1 Queen Bed and 1 Double Sofa Bed),apartment,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
smart room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"1 Double Bed, Non-Smoking Room Only",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"KING DELUXE ROOM,38SQM/55 INCH HDTV/WORKDESK/ERGONOMIC CHAIR,MINIBAR/ TEA COFFEE MAKER/ RAINSHOWER,",room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Standard Suite, 1 Queen Bed",suite,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Family Quadruple Room, Sea View (4 Adults) (1 Queen Bed and 2 Twin Beds)",room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,sea view,undefined
Standard Twin with facilities Basic rate with breakfast,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Twin Room 2 Twin Beds- Non Refundable,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Suite - Sea View, Single or Double/Twin Bed",suite,undefined,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,sea view,undefined
Twin/Double room - Queen,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Standard Room, Non Smoking(with breakfast)",room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Classic Room (1 Large Twin Bed),room,classic,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Superior Double Room (Superior) (1 Queen Bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior room SMART twin ,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Tryp Room with Soluna Beach Club access,room,standard,private bathroom,undefined,undefined,club,undefined,no balcony,undefined,undefined
Deluxe Double Single Use,room,deluxe,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
One Bedroom Premium Apartment Premium one bedroom apartment,apartment,premium,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
Superior room Double or Twin,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
superior twin room non smoking,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Cocoon 1,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Studio Suite, Kitchenette (1 Queen Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Standard Room SINGLE Deluxe Room,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Junior suite room with 1 double and 1 sofa bed double ,junior-suite,undefined,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Camera Superior King (1 King Bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Double Room, Pool View,1 Double Bed,NonSmoking",room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,pool view,undefined
Twin Deluxe,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"QUEEN GUEST ROOM WITH SOFA BED,21 SQM/IRON AND BOARD/LAPTOP SAFE/AC,COMP WIFI/COFFEE-TEA FACILITIES/HDTV,",room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
"Two Bedroom Family Family Chalet, 2 Bedrooms, Sea Facing, 2 King Beds",chalet,undefined,private bathroom,twin/twin-or-double,undefined,not club,2 bedrooms,no balcony,sea view,undefined
"Executive, Guest room, 1 King, High floor",room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Single Suite (terrace),suite,superior,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 Queen Bed, Non Smoking (Pet Friendly) (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Apartment,apartment,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Triple Economy shared bathroom Twin beds,room,economy,shared bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard room (annex),room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Twin pool view,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,pool view,undefined
"1 Single Bed, Nonsmoking",room,standard,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
Club Executive Riverview Suite Double Club Executive Riverview Suite Double,suite,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,river view,undefined
"1 King Bed, Non-Smoking, Premium Floor, City View, Upgraded Amenities, Flat Screen Television, Wi-Fi 1 King Bed, Non-Smoking, Premium Floor, City View",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
5th Floor Superior Double Room - 22sqm,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"TWIN DELUXE ROOM WITH FULL SEA VIEW,COMP WIFI/SATTV/BALCONY/LAPTOP SAFE/BATHTUB,MINIBAR/MP3CLOCK/COFFEE-TEA FACILITIES/AC,",room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,balcony,sea view,undefined
"Signature Room, 1 Queen Bed",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Twin Room, 2 Twin Beds twin room with twin beds (1 Twin)",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Superior single use,room,superior,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Business Single Suite,suite,business,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"Classic Room, 1 Queen Bed with Sofa bed (1 Queen Bed and 1 Double Sofa Bed)",room,classic,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Suite - Panorama,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Suite, 1 Bedroom, Garden View (1 Twin Bed and 1 Double Sofa Bed)",suite,undefined,private bathroom,single bed,single,not club,1 bedroom,no balcony,garden view,undefined
Premium Family Room (Max 4) Breakfast,room,premium,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Non refundable Room only,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Single Room, 1 Double Bed, Non Smoking, City View",room,deluxe,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,city view,undefined
Suite for 4 persons (1 double bed + sofa bed) Basic rate without breakfast,suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Classic Twin Room, Sea View (2 Twin Beds)",room,classic,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,sea view,undefined
"Junior Suite, View (1 Double Bed)",junior-suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Arabian Court Deluxe King Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Room (Sofa Bed) (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Park View Twin Room (2 Large Twin Beds),room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,park view,undefined
Standard Balcony (Vista Mare Laterale/Lateral Sea View),room,standard,private bathroom,undefined,undefined,not club,undefined,balcony,partial-sea view,undefined
dormBed in 6-bunk-beds female room (shared facilities)   in block,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Superior Studio, Terrace, Garden View (1 Queen Bed)",studio,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,garden view,undefined
Signature Old Town View Standard Double Room BC ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Two Bedroom Partial Ocean View Suite (1 King Bed and 2 Double Beds),suite,undefined,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,partial-ocean view,undefined
"Junior Suite, 1 King Bed, Balcony, Sea View (1 King Bed)",junior-suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,balcony,sea view,undefined
Deluxe Studio with 1 kingsize bed Deluxe Studio with 1 kingsize bed Early Bird (1 Double),studio,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
2 Bedroom Skyline Suite Breakfast,suite,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
Double Room - With Breakfast Superior Sea View-Bed & Breakfast-Refundable Rate,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
"Comfort Twin Room, 2 Twin Beds (2 Twin Beds)",room,comfort,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Apartment, 2 Bedrooms (Via Delle Asole, 1 - 8 pax) (2 Queen Beds, 2 Twin Beds and 1 Queen Sofa Bed)",apartment,undefined,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,undefined,undefined
Standard Triple room with partial sea view,room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,partial-sea view,undefined
Duplex Villa Duplex Villa Breakfast Included (1 King),villa,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,duplex floor
"Standard Room, 1 King Bed Non Smoking (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Single Room - With Breakfast Garden Pool Villa-Bed & Breakfast-Refundable Rate,villa,undefined,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"Suite, 1 King Bed (Four Seasons) (1 King Bed)",suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"2 Single Beds - Non-Smoking, Deluxe Room, Flat Screen Television, Work Desk, Wi-Fi, Air-Conditioned, Full Breakfast",room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Japanese Style Traditional Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Sky Premium Breakfast,room,premium,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Sea Signature Twin Room Sea Signature Twin (2 Single),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Studio with Terrace,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Double or Twin Room - single occupancy - Non-refundable - Free WiFi,room,standard,private bathroom,double/double-or-twin,undefined,not club,undefined,no balcony,undefined,undefined
Deluxe Suite One Bedroom Partial Sea View,suite,deluxe,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,partial-sea view,undefined
Deluxe Room with 2 Double Beds,room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,undefined,undefined
Executive Room 1 King Bed- Non Refundable,room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
FIT standard room with 1 double bed (breakfast included)  ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double Non-ref rate with full-board,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Double or Twin Room (Deluxe) (1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"North & West Wing 1 King Bed (Outside Building, Non Smoking) (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe King Courtyard Room Deluxe Twin/Double,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Executive Room with Double Bed or Two Single Beds and Wellness Area Access, 1 Double Bed",room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard economy room with 1 double bed   in block,room,economy,shared bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family garden view Basic Rate with breakfast,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
Privilege Twin Room non-smoking,room,privilege,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Quadruple Studio (single bed) (+ sofa),studio,standard,private bathroom,single bed,quadruple,not club,undefined,no balcony,undefined,undefined
Cozy Twin room - Tropical Village (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 King Bed, Non Smoking, Sea View",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
SIR SUPREME,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
1-room standard single room  (Main Building),room,standard,private bathroom,undefined,single,not club,1 bedroom,no balcony,undefined,undefined
2 BEDROOM APARTMENT,apartment,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
1 Bedroom Apartment with Terrace 1 BEDROOM APARTMENT WITH TERRACE,apartment,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
